0;0
0;9
0;17
0;26
0;34
0;42
0;51
0;59
0;66
0;75
0;84
0;92
8;0
8;9
8;17
8;26
8;34
8;42
8;51
8;59
8;66
8;75
8;84
8;92
17;0
17;9
17;17
17;26
17;34
17;42
17;51
17;59
17;66
17;75
17;84
17;92
25;0
25;9
25;17
25;26
25;34
25;42
25;51
25;59
25;66
25;75
25;84
25;92
33;0
33;9
33;17
33;26
33;34
33;42
33;51
33;59
33;66
33;75
33;84
33;92
41;0
41;9
41;17
41;26
41;34
41;42
41;51
41;59
41;66
41;75
41;84
41;92
50;0
50;9
50;17
50;26
50;34
50;42
50;51
50;59
50;66
50;75
50;84
50;92
58;0
58;9
58;17
58;26
58;34
58;42
58;51
58;59
58;66
58;75
58;84
58;92
66;0
66;9
66;17
66;26
66;34
66;42
66;51
66;59
66;66
66;75
66;84
66;92
74;0
74;9
74;17
74;26
74;34
74;42
74;51
74;59
74;66
74;75
74;84
74;92
83;0
83;9
83;17
83;26
83;34
83;42
83;51
83;59
83;66
83;75
83;84
83;92
91;0
91;9
91;17
91;26
91;34
91;42
91;51
91;59
91;66
91;75
91;84
91;92
