#parameters of run: 
#Number of Sensors 0
#Sensor Range: 35
#POI: 411
#Sensor for file: C:/Users/PC/Desktop/AD HOc/WSN_GUI/WSN/FILES/WSN-45d.txt
#id num_of_neighb neigb-ID
1    0     
2    21     4568912131415171819313233343738404142
3    26     45689111213141517181920212223242526272829404142
4    37     2356789101112131415161718192021222324252627282930313233343536373839
5    42     23467891011121314151617181920212223242526272829303132333435363738394041424344
6    42     23457891011121314151617181920212223242526272829303132333435363738394041424344
7    31     456891213141517181920212223242526272829313233343738404142
8    42     23456791011121314151617181920212223242526272829303132333435363738394041424344
9    42     23456781011121314151617181920212223242526272829303132333435363738394041424344
10    31     456891213141517181920212223242526272829313233343738404142
11    37     34568911121314151617181920212223242526272829303132333435373840414243
12    43     234567891011121314151617181920212223242526272829303132333435363738394041424344
13    43     234567891011121314151617181920212223242526272829303132333435363738394041424344
14    43     234567891011121314151617181920212223242526272829303132333435363738394041424344
15    43     234567891011121314151617181920212223242526272829303132333435363738394041424344
16    33     4568911121314151718192021222324252627282931323334353738404142
17    43     234567891011121314151617181920212223242526272829303132333435363738394041424344
18    43     234567891011121314151617181920212223242526272829303132333435363738394041424344
19    43     234567891011121314151617181920212223242526272829303132333435363738394041424344
20    43     234567891011121314151617181920212223242526272829303132333435363738394041424344
21    43     234567891011121314151617181920212223242526272829303132333435363738394041424344
22    43     234567891011121314151617181920212223242526272829303132333435363738394041424344
23    43     234567891011121314151617181920212223242526272829303132333435363738394041424344
24    43     234567891011121314151617181920212223242526272829303132333435363738394041424344
25    43     234567891011121314151617181920212223242526272829303132333435363738394041424344
26    43     234567891011121314151617181920212223242526272829303132333435363738394041424344
27    43     234567891011121314151617181920212223242526272829303132333435363738394041424344
28    43     234567891011121314151617181920212223242526272829303132333435363738394041424344
29    43     234567891011121314151617181920212223242526272829303132333435363738394041424344
30    33     4568911121314151718192021222324252627282931323334353738404142
31    43     234567891011121314151617181920212223242526272829303132333435363738394041424344
32    43     234567891011121314151617181920212223242526272829303132333435363738394041424344
33    43     234567891011121314151617181920212223242526272829303132333435363738394041424344
34    43     234567891011121314151617181920212223242526272829303132333435363738394041424344
35    37     34568911121314151617181920212223242526272829303132333435373840414243
36    31     456891213141517181920212223242526272829313233343738404142
37    43     234567891011121314151617181920212223242526272829303132333435363738394041424344
38    43     234567891011121314151617181920212223242526272829303132333435363738394041424344
39    31     456891213141517181920212223242526272829313233343738404142
40    43     234567891011121314151617181920212223242526272829303132333435363738394041424344
41    43     234567891011121314151617181920212223242526272829303132333435363738394041424344
42    43     234567891011121314151617181920212223242526272829303132333435363738394041424344
43    33     4568911121314151718192021222324252627282931323334353738404142
44    31     456891213141517181920212223242526272829313233343738404142
45    0     
